0.8498000000	嘻 哈
0.8334666667	妥 妥
0.8318000000	娇 俏
0.8239333333	格纹元 素
0.8104333333	张弛 有度
0.8095333333	水溶蕾 丝
0.7962666667	扣门 襟
0.7818833333	直 筒裤
0.7687000000	天鹅 颈
0.7669500000	凹凸 有致
0.7484666667	学院 风
0.7449666667	隐形 拉链
0.7441333333	高 街
0.7438166667	斜插 口袋
0.7415000000	极 简
0.7395333333	卷 边
0.7388833333	刚刚 好
0.7382833333	唯 美的
0.7375000000	轻 熟
0.7323000000	少女 心
0.7300000000	轻 奢
0.7236333333	小黑 裙
0.7187500000	a 字型
0.7184000000	孕 妈
0.7127500000	网 纱裙
0.7123666667	门 襟
0.7117500000	挺 阔
0.7059500000	大 热
0.7046666667	本 布
0.7041666667	小开 叉
0.7028666667	藏 肉
0.7013666667	中长 款
0.6996666667	小女 人味
0.6975000000	极 强
0.6973833333	民族 风
0.6965000000	随身 物品
0.6964500000	黄金 比例
0.6956666667	永不 过时
0.6940333333	车 线
0.6935833333	韩 版
0.6912000000	筒裤 型
0.6881166667	木耳 花边
0.6800000000	潮 男
0.6718333333	美美 哒
0.6637666667	个 性别
0.6625166667	直 筒
0.6621666667	束 脚
0.6615333333	蝙蝠 袖
0.6599166667	得 淋漓尽致
0.6582333333	小 蛮
0.6579000000	小女 人
0.6567666667	网 纱
0.6545666667	高显 瘦
0.6536833333	湿透 气
0.6493833333	软 糯
0.6476666667	微 喇
0.6464666667	打底 衫
0.6460833333	牛仔布 料
0.6414166667	格 纹
0.6413500000	小脚 裤
0.6411166667	中国 风
0.6392666667	泡泡 袖
0.6370500000	腰 封
0.6353000000	一大 亮点
0.6351333333	妹 纸
0.6336333333	单排 扣门 襟
0.6334166667	纯 黑
0.6332166667	太 过
0.6331666667	连帽卫 衣
0.6280333333	视觉 冲击力
0.6274166667	香 肩
0.6264166667	波 点
0.6247166667	脚 口
0.6244666667	polo 衫
0.6218833333	酒 红色
0.6212166667	黄金 身材
0.6200166667	纯 黑色
0.6197500000	雪纺 衫
0.6178500000	a 字
0.6118333333	英伦 风
0.6113833333	坑 条
0.6099666667	千鸟 格
0.6069666667	衣 面
0.6064000000	不显 臃肿
0.6033166667	这个 季节
0.6018500000	女人 味儿
0.5944166667	连体 裤
0.5925000000	灯笼 袖
0.5918500000	潮 牌
0.5898500000	喇叭 袖
0.5898000000	小白 鞋
0.5893666667	深 v
0.5802333333	各种 场合
0.5760833333	浅 灰色
0.5745000000	卫 衣
0.5726500000	木耳 边
0.5722000000	人 眼前一亮
0.5715000000	裙 身上
0.5711000000	薄 款
0.5695500000	萌 趣
0.5643000000	风琴 褶
0.5609000000	曼妙 身姿
0.5601000000	腰 头
0.5574166667	甜 美感
0.5569833333	斜 插袋
0.5559833333	束 口
0.5515500000	手感 柔软
0.5450833333	棉 混纺
0.5430500000	纱 质
0.5416166667	成熟 稳重
0.5386666667	巧妙 地
0.5383333333	棉 料
0.5374333333	从 视觉
0.5325666667	基本 款
0.5315000000	bf 风
0.5270333333	街头 嘻
0.5266666667	手感 细腻
0.5257500000	衣 身
0.5246833333	襟 处
0.5215333333	凹 造型
0.5206833333	小个子 女生
0.5198500000	不显 单调
0.5155000000	腰 腹
0.5126833333	大方 得体
0.5119333333	水洗 工艺
0.5090833333	裸 粉色
0.5089000000	衣 身上
0.5077666667	仙气 十足
0.5077500000	整个 人
0.5068333333	春夏 季节
0.5059000000	长 款
0.5051833333	个人 气质
0.5039333333	同 款
0.5034000000	小 蛮 腰
0.5023833333	浪漫 唯 美的
0.5022666667	金属 纽扣
0.5012333333	场合 都
0.5007666667	基础 款
0.4999000000	腿 长
0.4999000000	大 长 腿
0.4996000000	花朵 刺绣
0.4979166667	腰 节
0.4971500000	荷叶 边
0.4967333333	包容性 强
0.4956500000	阔 腿
0.4956000000	牛仔 短裤
0.4940666667	优质 纯棉
0.4935833333	街头 潮
0.4930833333	实用性 强
0.4930000000	小 心机
0.4926000000	纯棉 材质
0.4920833333	纯棉 牛仔面料
0.4919000000	阔 腿 裤
0.4901500000	给 人
0.4901500000	裙 身
0.4896833333	着 丝丝
0.4890500000	设计师 为 这款
0.4889333333	较 强
0.4849000000	裤 身
0.4827666667	点 元素
0.4826833333	但 却
0.4823166667	金属 圆环
0.4816333333	纹 元素
0.4814333333	率性 洒脱
0.4812000000	针织 开衫
0.4812000000	简约 而 不 简单
0.4805166667	潮 范
0.4798500000	清新 淡雅
0.4773333333	洋溢着 青春
0.4772500000	字母 刺绣
0.4771666667	简洁 大方
0.4769500000	在 一起
0.4751333333	金属 拉链
0.4744333333	淑女 风范
0.4734333333	潮 范儿
0.4726833333	胸口 处
0.4723333333	旧 工艺
0.4700166667	微 喇叭
0.4699833333	肉 肉
0.4694500000	背带 裙
0.4694333333	灰 蓝色
0.4694166667	同 色
0.4693000000	束 脚 裤
0.4688500000	轻盈 飘逸
0.4679000000	较 好
0.4677333333	优质 雪纺
0.4674333333	略微 宽松
0.4672500000	贴合 颈部
0.4662500000	门 襟 处
0.4656500000	街头 风
0.4650000000	俏皮 可爱
